timestamp,S(t),I(t),R(t)
0.0,0.99,0.01,0.0
10.0,0.9742046734113318,0.02418697412975263,0.0016083524589155847
20.0,0.9374878702099589,0.0570620174086875,0.005450112381353578
30.0,0.8584125954742013,0.1273253966532975,0.014262007872501248
40.0,0.712871009341457,0.254288545499174,0.03284044515936896
50.0,0.5083641722011518,0.4249851400126764,0.0666506877861718
60.0,0.3067508679809535,0.5760822290508827,0.1171669029681637
70.0,0.16460401189894394,0.6559797600663225,0.1794162280347334
80.0,0.08447516827824529,0.6694001000230151,0.2461247316987396
90.0,0.043705868387492554,0.6442718755636884,0.31202225604881895
100.0,0.023416902195135966,0.6021584113737696,0.3744246864310943
110.0,0.013130230633540093,0.5545910004591158,0.432278768907344
120.0,0.007723551634770754,0.5069333855278312,0.485343062837398
130.0,0.004760224661055881,0.4614987674370403,0.5337410079019036
140.0,0.0030655567919421604,0.4191868701429378,0.5777475730651199
150.0,0.0020560614004102324,0.380252665174415,0.6176912734251746
160.0,0.0014313370690660725,0.34465907037389365,0.6539095925570403
170.0,0.0010308825887383542,0.3122401543903014,0.6867289630209603
180.0,0.0007657825515048709,0.2827780200826079,0.7164561973658872
190.0,0.0005850554881938044,0.25603959120311837,0.7433753533086879
200.0,0.0004585127771777061,0.231794280256117,0.7677472069667053
210.0,0.0003677342478456197,0.2098222951705895,0.7898099705815649
220.0,0.000301163838148205,0.1899182561556357,0.8097805800062161
230.0,0.0002513630024229728,0.17189242569975788,0.8278562112978192
240.0,0.00021342846234875988,0.15557071902279893,0.8442158525148523
250.0,0.00018405632179618032,0.14079410135164064,0.8590218423265632
